mz,int
871.0803645201271,1.8755917355414337e-222
871.0853751230221,2.5517584876169913e-215
871.0903857259173,2.6523891643610544e-208
871.0953963288123,2.1063658009563156e-201
871.1004069317073,1.2780030195117782e-194
871.1054175346025,2.635697097177805e-186
871.1104281374975,8.727356833878109e-180
871.1154387403925,2.2079117868589618e-173
871.1204493432876,4.267720640215466e-167
871.1254599461827,6.30274064853226e-161
871.1304705490777,7.1119105751541624e-155
871.1354811519728,1.7914599051542188e-147
871.1404917548679,1.1033370271085551e-141
871.1455023577629,5.192174714076156e-136
871.150512960658,1.8669629122696715e-130
871.1555235635531,5.129483555549795e-125
871.1605341664481,1.076886490032699e-119
871.1655447693432,3.315092673397351e-113
871.1705553722383,3.7994714295845144e-108
871.1755659751334,3.3276519296278523e-103
871.1805765780284,2.2271350344329976e-98
871.1855871809234,1.1390937260346182e-93
871.1905977838186,6.002881575385241e-88
871.1956083867136,1.6765387326352827e-83
871.2006189896086,3.5786792041273674e-79
871.2056295925038,5.838361028958071e-75
871.2106401953988,7.2800461611294e-71
871.2156507982938,6.938566917624765e-67
871.220661401189,4.4787370740625196e-62
871.225672004084,2.331924758518774e-58
871.230682606979,9.28306818510648e-55
871.2356932098742,2.8252374580593394e-51
871.2407038127692,6.574043251171964e-48
871.2457144156642,1.1696468072257649e-44
871.2507250185594,9.273934199262684e-41
871.2557356214544,9.017295728567975e-38
871.2607462243494,6.710267933228382e-35
871.2657568272446,3.8195533184741065e-32
871.2707674301396,1.663194844503044e-29
871.2757780330346,2.2759280685152275e-26
871.2807886359298,5.413070033662111e-24
871.2857992388248,9.877658918523279e-22
871.2908098417198,1.3796921892894394e-19
871.295820444615,1.475377922908679e-17
871.30083104751,1.2080863848130289e-15
871.305841650405,2.0681282150484803e-13
871.3108522533001,9.191504023030007e-12
871.3158628561952,3.165519776183246e-10
871.3208734590902,8.355646953483795e-09
871.3258840619853,1.6908225122930274e-07
871.3308946648804,2.6236603151396936e-06
871.3359052677754,5.8203415690889464e-05
871.3409158706705,0.0004755547070438796
871.3459264735656,0.0031189579167016502
871.3509370764606,0.015702238335798188
871.3559476793557,0.06069442833168496
871.3609582822507,0.25677433016489215
871.3659688851459,0.4843009414944424
871.3709794880409,0.7939889405186437
871.3759900909359,1.0
871.3810006938311,0.9675826408605848
871.3860112967261,0.7192441627097349
871.3910218996211,0.4728002123394151
871.3960325025163,0.14069369004265603
871.4010431054113,0.04437174701149836
871.4060537083063,0.010745736656929891
871.4110643112015,0.0019979236508831026
871.4160749140965,0.00028512824189564175
871.4210855169915,3.258672183430289e-05
871.4260961198867,1.3552186250187945e-06
871.4311067227817,8.173027640583077e-08
871.4361173256767,3.779382703050303e-09
871.4411279285719,1.3397223771678953e-10
871.4461385314669,3.639647339196816e-12
871.4511491343619,7.656867788172868e-14
871.456159737257,4.1177765224418235e-16
871.4611703401521,4.7042928666646244e-18
871.4661809430471,4.115085351018277e-20
871.4711915459422,2.7557317380376433e-22
871.4762021488373,1.4167450167883353e-24
871.4812127517323,1.3299130994276465e-27
871.4862233546274,3.733487769952026e-30
871.4912339575225,8.018690274557957e-33
871.4962445604175,1.3174599178618868e-35
871.5012551633126,1.6556519281304638e-38
871.5062657662077,1.592295394286697e-41
871.5112763691027,1.8468196357923456e-45
871.5162869719978,9.706584678878236e-49
871.5212975748929,3.9007232187268034e-52
871.5263081777879,1.1984801047890434e-55
871.531318780683,2.815116469000317e-59
871.536329383578,5.055572533361475e-63
871.5413399864731,7.2015531706453026e-68
871.5463505893682,7.065051941746345e-72
871.5513611922632,5.297762712000552e-76
871.5563717951584,3.0362709294462913e-80
871.5613823980534,1.330017104312166e-84
871.5663930009484,3.2473463420671466e-90
871.5714036038436,7.767928473742889e-95
871.5764142067386,1.4200197473222222e-99
871.5814248096336,1.983741810777464e-104
871.5864354125288,2.1177144930770697e-109
871.5914460154238,1.727565158040386e-114
871.5964566183188,5.159401789404591e-121
871.601467221214,2.297699931844869e-126
871.606477824109,7.8188676894277e-132
871.611488427004,2.033032689335397e-137
871.6164990298992,4.03913765284142e-143
871.6215096327942,6.131567789669651e-149
871.6265202356892,2.2378397755684583e-156
871.6315308385844,1.854186433196993e-162
871.6365414414794,1.173816269246963e-168
871.6415520443744,5.677603160704054e-175
871.6465626472695,2.0981880607573425e-181
871.6515732501646,1.3093854542055275e-189
871.6565838530596,2.640835859935825e-196
871.6615944559547,4.0692930547971155e-203
871.6666050588498,4.790682367423886e-210
871.6716156617448,4.30897549033941e-217
871.6766262646399,2.9610446204610487e-224
872.0724638933501,7.55814331637652e-231
872.0774744962451,1.3151752146286658e-223
872.0824850991402,1.723426215139683e-216
872.0874957020353,1.726495622486697e-209
872.0925063049303,1.3222222703235432e-202
872.0975169078255,7.741271941070393e-196
872.1025275107205,1.5282312501120056e-187
872.1075381136155,4.889761217665385e-181
872.1125487165107,1.1960939928615704e-174
872.1175593194057,2.236792119020063e-168
872.1225699223007,3.1979562298988075e-162
872.1275805251959,3.4955072737188805e-156
872.1325911280909,8.469013839399887e-149
872.1376017309859,5.059606932448426e-143
872.1426123338811,2.311042364234709e-137
872.1476229367761,8.070711382813902e-132
872.1526335396711,2.154938182746441e-126
872.1576441425663,8.967215175519314e-120
872.1626547454613,1.3088700454663139e-114
872.1676653483563,1.4607775629363008e-109
872.1726759512514,1.246584183614746e-104
872.1776865541465,8.134317508082769e-100
872.1826971570415,4.058757906390516e-95
872.1877077599366,2.0755440755008975e-89
872.1927183628317,5.663213978007406e-85
872.1977289657267,1.1816966738015078e-80
872.2027395686218,1.8857268184132343e-76
872.2077501715169,2.3014341642080896e-72
872.2127607744119,2.1482487591709623e-68
872.217771377307,1.3518971965416547e-63
872.2227819802021,6.905308948466395e-60
872.2277925830971,2.697882961363414e-56
872.2328031859922,8.063858626343526e-53
872.2378137888873,1.844083757122667e-49
872.2428243917823,1.9999709483589732e-45
872.2478349946774,2.5024106764034583e-42
872.2528455975724,2.4034324486198372e-39
872.2578562004675,1.7639616412914916e-36
872.2628668033626,9.913620583527784e-34
872.2678774062576,4.267644648189102e-31
872.2728880091527,5.714054180922289e-28
872.2778986120478,1.344130033680839e-25
872.2829092149428,2.4732339535613762e-23
872.287919817838,3.4484359150576684e-21
