m,p,isotopologue
1803.9288332673489,2.4153578545458503e-05,"[114, 0, 0, 0, 3, 65, 0, 0, 0, 12, 37, 1, 1]"
1803.9304356423345,0.4017679509434215,"[114, 0, 0, 0, 0, 68, 0, 0, 0, 12, 39, 0, 0]"
1803.930892876296,2.1953554222415206e-05,"[113, 1, 0, 0, 3, 65, 0, 0, 0, 12, 38, 0, 1]"
1803.9312979441975,0.004110498691068707,"[114, 0, 0, 0, 1, 67, 0, 0, 0, 12, 38, 1, 0]"
1803.9333575531443,0.0036402973639285087,"[113, 1, 0, 0, 1, 67, 0, 0, 0, 12, 39, 0, 0]"
1803.9342198550073,1.8348137230346127e-05,"[113, 1, 0, 0, 2, 66, 0, 0, 0, 12, 38, 1, 0]"
1803.9342909061038,0.002682661899262931,"[114, 0, 0, 0, 1, 67, 0, 0, 1, 11, 38, 0, 1]"
1803.9376178848154,0.0007253821219532643,"[114, 0, 0, 0, 0, 68, 0, 0, 1, 11, 38, 1, 0]"
1803.9396774937625,0.0006424054171638213,"[113, 1, 0, 0, 0, 68, 0, 0, 1, 11, 39, 0, 0]"
1803.9406108467217,0.0002169800065580223,"[114, 0, 0, 0, 0, 68, 0, 0, 2, 10, 38, 0, 1]"
1804.9288611237096,6.502447641489991e-05,"[114, 0, 0, 0, 3, 65, 0, 0, 0, 12, 37, 0, 2]"
1804.9313258005582,0.022131960668919343,"[114, 0, 0, 0, 1, 67, 0, 0, 0, 12, 38, 0, 1]"
1804.9321881024212,0.00010869110345456552,"[114, 0, 0, 0, 2, 66, 0, 0, 0, 12, 37, 1, 1]"
1804.934247711368,9.879099400087061e-05,"[113, 1, 0, 0, 2, 66, 0, 0, 0, 12, 38, 0, 1]"
1804.9346527792698,0.005984402506114467,"[114, 0, 0, 0, 0, 68, 0, 0, 0, 12, 38, 1, 0]"
1804.9351810643275,3.546789622630959e-05,"[114, 0, 0, 0, 2, 66, 0, 0, 1, 11, 37, 0, 2]"
1804.9355150811327,2.9828335153733315e-05,"[114, 0, 0, 0, 1, 67, 0, 0, 0, 12, 37, 2, 0]"
1804.9367123882168,0.005299844691601561,"[113, 1, 0, 0, 0, 68, 0, 0, 0, 12, 39, 0, 0]"
1804.9375746900798,5.422285330758875e-05,"[113, 1, 0, 0, 1, 67, 0, 0, 0, 12, 38, 1, 0]"
1804.937645741176,0.0039056401180443913,"[114, 0, 0, 0, 0, 68, 0, 0, 1, 11, 38, 0, 1]"
1804.938508043039,3.893412661058944e-05,"[114, 0, 0, 0, 1, 67, 0, 0, 1, 11, 37, 1, 1]"
1804.9396342990267,2.37995261687128e-05,"[112, 2, 0, 0, 1, 67, 0, 0, 0, 12, 39, 0, 0]"
1804.9405676519862,3.538781874657943e-05,"[113, 1, 0, 0, 1, 67, 0, 0, 1, 11, 38, 0, 1]"
1805.9322159587819,0.0002926101438670557,"[114, 0, 0, 0, 2, 66, 0, 0, 0, 12, 37, 0, 2]"
1805.9346806356305,0.03222153097386642,"[114, 0, 0, 0, 0, 68, 0, 0, 0, 12, 38, 0, 1]"
1805.9355429374934,0.00032120654453736506,"[114, 0, 0, 0, 1, 67, 0, 0, 0, 12, 37, 1, 1]"
1805.9376025464405,0.0002919495046592823,"[113, 1, 0, 0, 1, 67, 0, 0, 0, 12, 38, 0, 1]"
1805.9385358993998,0.0001048155739225242,"[114, 0, 0, 0, 1, 67, 0, 0, 1, 11, 37, 0, 2]"
1805.938869916205,4.342654676793332e-05,"[114, 0, 0, 0, 0, 68, 0, 0, 0, 12, 37, 2, 0]"
1805.940929525152,7.894209525663302e-05,"[113, 1, 0, 0, 0, 68, 0, 0, 0, 12, 38, 1, 0]"
1805.9418628781114,5.668350785953209e-05,"[114, 0, 0, 0, 0, 68, 0, 0, 1, 11, 37, 1, 1]"
1805.942989134099,3.4649310157389145e-05,"[112, 2, 0, 0, 0, 68, 0, 0, 0, 12, 39, 0, 0]"
1805.9439224870582,5.152050082222363e-05,"[113, 1, 0, 0, 0, 68, 0, 0, 1, 11, 38, 0, 1]"
1806.9355707938541,0.0008647284848608306,"[114, 0, 0, 0, 1, 67, 0, 0, 0, 12, 37, 0, 2]"
1806.9388977725657,0.0004676389398411429,"[114, 0, 0, 0, 0, 68, 0, 0, 0, 12, 37, 1, 1]"
1806.9409573815126,0.0004250441317833478,"[113, 1, 0, 0, 0, 68, 0, 0, 0, 12, 38, 0, 1]"
1806.941890734472,0.00015259914438719752,"[114, 0, 0, 0, 0, 68, 0, 0, 1, 11, 37, 0, 2]"
1807.9389256289264,0.001258942941194388,"[114, 0, 0, 0, 0, 68, 0, 0, 0, 12, 37, 0, 2]"
1808.9398157871499,2.193140773461268e-05,"[114, 0, 0, 0, 1, 67, 0, 0, 0, 12, 36, 0, 3]"
1809.9431706222222,3.1929549495978794e-05,"[114, 0, 0, 0, 0, 68, 0, 0, 0, 12, 36, 0, 3]"
